student_id;path;Przedmiot-1;Przedmiot-10;Przedmiot-11;Przedmiot-12;Przedmiot-13;Przedmiot-14;Przedmiot-2;Przedmiot-3;Przedmiot-4;Przedmiot-5;Przedmiot-6;Przedmiot-7;Przedmiot-8;Przedmiot-9
student_1;C;1;1;;1;;;1;1;1;;;;;
student_2;C;1;;1;;;1;1;1;1;;;;;
student_3;A;1;1;1;;;;1;1;1;1;1;;;
student_4;A;1;;1;1;;;1;1;1;1;1;;;
student_5;A;1;1;1;;;;1;1;1;1;1;;;
student_6;A;1;;;;1;1;1;1;1;1;1;;;
student_7;B;1;;;1;1;;1;1;1;;;1;1;
student_8;B;1;;;;1;1;1;1;1;;;1;1;
student_9;A;1;;;1;1;;1;1;1;1;1;;;
student_10;A;1;;;1;;1;1;1;1;1;1;;;
student_11;A;1;1;;1;;;1;1;1;1;1;;;
student_12;B;1;;;;1;;1;1;1;;;1;1;1
student_13;A;1;1;;1;;;1;1;1;1;1;;;
student_14;C;1;;1;;;1;1;1;1;;;;;
student_15;C;1;;1;;;;1;1;1;;;;;1
student_16;C;1;;;;1;;1;1;1;;;;;1
student_17;C;1;;1;;;1;1;1;1;;;;;
student_18;B;1;;;;1;1;1;1;1;;;1;1;
student_19;A;1;1;;;;1;1;1;1;1;1;;;
student_20;A;1;;;;1;;1;1;1;1;1;;;1
student_21;B;1;1;;;;;1;1;1;;;1;1;1
student_22;B;1;;;1;;;1;1;1;;;1;1;1
student_23;B;1;;;1;;;1;1;1;;;1;1;1
student_24;A;1;;;;;1;1;1;1;1;1;;;1
student_25;C;1;1;;;1;;1;1;1;;;;;
student_26;C;1;;;;1;1;1;1;1;;;;;
student_27;A;1;;;;1;1;1;1;1;1;1;;;
student_28;B;1;;;1;;;1;1;1;;;1;1;1
student_29;B;1;;1;;1;;1;1;1;;;1;1;
student_30;B;1;;1;;;;1;1;1;;;1;1;1
student_31;C;1;1;;1;;;1;1;1;;;;;
student_32;A;1;;1;;1;;1;1;1;1;1;;;
student_33;B;1;;;;1;1;1;1;1;;;1;1;
student_34;C;1;1;;;;1;1;1;1;;;;;
student_35;A;1;;;1;;;1;1;1;1;1;;;1
student_36;A;1;1;;;;;1;1;1;1;1;;;1
student_37;A;1;1;;;1;;1;1;1;1;1;;;
student_38;B;1;;;;1;;1;1;1;;;1;1;1
student_39;B;1;;;;;1;1;1;1;;;1;1;1
student_40;B;1;;;;1;;1;1;1;;;1;1;1
student_41;A;1;;;1;;1;1;1;1;1;1;;;
student_42;B;1;;;1;1;;1;1;1;;;1;1;
student_43;B;1;;1;;;1;1;1;1;;;1;1;
student_44;A;1;1;1;;;;1;1;1;1;1;;;
student_45;B;1;1;;1;;;1;1;1;;;1;1;
student_46;A;1;;;1;;1;1;1;1;1;1;;;
student_47;B;1;;;1;;1;1;1;1;;;1;1;
student_48;A;1;;;1;;;1;1;1;1;1;;;1
student_49;A;1;1;;;;;1;1;1;1;1;;;1
student_50;A;1;1;1;;;;1;1;1;1;1;;;
student_51;B;1;1;1;;;;1;1;1;;;1;1;
student_52;B;1;;1;;;1;1;1;1;;;1;1;
student_53;A;1;;1;;1;;1;1;1;1;1;;;
student_54;C;1;1;;;1;;1;1;1;;;;;
student_55;A;1;1;1;;;;1;1;1;1;1;;;
student_56;B;1;;;;;1;1;1;1;;;1;1;1
student_57;A;1;;1;;;;1;1;1;1;1;;;1
student_58;A;1;;1;;1;;1;1;1;1;1;;;
student_59;B;1;1;;1;;;1;1;1;;;1;1;
student_60;C;1;;1;;;1;1;1;1;;;;;
student_61;B;1;;1;;1;;1;1;1;;;1;1;
student_62;A;1;;;;;1;1;1;1;1;1;;;1
student_63;A;1;;1;;;;1;1;1;1;1;;;1
student_64;B;1;;;;1;1;1;1;1;;;1;1;
student_65;B;1;1;;1;;;1;1;1;;;1;1;
student_66;B;1;;;;1;1;1;1;1;;;1;1;
student_67;B;1;;;;1;;1;1;1;;;1;1;1
student_68;B;1;;;1;;1;1;1;1;;;1;1;
student_69;A;1;;;1;;;1;1;1;1;1;;;1
student_70;A;1;1;;1;;;1;1;1;1;1;;;
student_71;C;1;;;;1;;1;1;1;;;;;1
student_72;B;1;;;;;1;1;1;1;;;1;1;1
student_73;B;1;;;1;1;;1;1;1;;;1;1;
student_74;A;1;;1;;1;;1;1;1;1;1;;;
student_75;C;1;;1;;;;1;1;1;;;;;1
student_76;B;1;1;;;;1;1;1;1;;;1;1;
student_77;B;1;1;;;1;;1;1;1;;;1;1;
student_78;B;1;;;1;1;;1;1;1;;;1;1;
student_79;B;1;1;1;;;;1;1;1;;;1;1;
student_80;B;1;;1;1;;;1;1;1;;;1;1;
student_81;B;1;;;;1;1;1;1;1;;;1;1;
student_82;A;1;;1;;;1;1;1;1;1;1;;;
student_83;B;1;1;;;;1;1;1;1;;;1;1;
student_84;A;1;;;;;1;1;1;1;1;1;;;1
student_85;A;1;;1;;;1;1;1;1;1;1;;;
student_86;B;1;;1;;;1;1;1;1;;;1;1;
student_87;A;1;;;;1;1;1;1;1;1;1;;;
student_88;C;1;;1;;1;;1;1;1;;;;;
student_89;A;1;1;;;;;1;1;1;1;1;;;1
student_90;B;1;1;;;;1;1;1;1;;;1;1;
student_91;A;1;;;1;1;;1;1;1;1;1;;;
student_92;A;1;;;;;1;1;1;1;1;1;;;1
student_93;B;1;;;1;;;1;1;1;;;1;1;1
student_94;B;1;1;1;;;;1;1;1;;;1;1;
student_95;B;1;;1;;;;1;1;1;;;1;1;1
student_96;A;1;;1;;1;;1;1;1;1;1;;;
student_97;C;1;;;1;;;1;1;1;;;;;1
student_98;A;1;1;;;;1;1;1;1;1;1;;;
student_99;B;1;;;1;;;1;1;1;;;1;1;1
student_100;B;1;1;1;;;;1;1;1;;;1;1;
student_101;B;1;;1;;;1;1;1;1;;;1;1;
student_102;A;1;;1;1;;;1;1;1;1;1;;;
student_103;A;1;1;1;;;;1;1;1;1;1;;;
student_104;B;1;1;;;;;1;1;1;;;1;1;1
student_105;B;1;1;;;1;;1;1;1;;;1;1;
student_106;A;1;1;;;;;1;1;1;1;1;;;1
student_107;A;1;;;1;1;;1;1;1;1;1;;;
student_108;A;1;;;1;;;1;1;1;1;1;;;1
student_109;B;1;;;;;1;1;1;1;;;1;1;1
student_110;A;1;1;;;;;1;1;1;1;1;;;1
student_111;B;1;;1;;;1;1;1;1;;;1;1;
student_112;C;1;1;;1;;;1;1;1;;;;;
student_113;A;1;;;;1;;1;1;1;1;1;;;1
student_114;C;1;;;;1;;1;1;1;;;;;1
student_115;B;1;1;;;;;1;1;1;;;1;1;1
student_116;A;1;;1;;;1;1;1;1;1;1;;;
student_117;A;1;;;1;;1;1;1;1;1;1;;;
student_118;A;1;;;1;;1;1;1;1;1;1;;;
student_119;A;1;;;1;;;1;1;1;1;1;;;1
student_120;B;1;1;;;;;1;1;1;;;1;1;1
student_121;A;1;1;;;;;1;1;1;1;1;;;1
student_122;A;1;;;;1;;1;1;1;1;1;;;1
student_123;A;1;;;1;;1;1;1;1;1;1;;;
student_124;A;1;;;1;;1;1;1;1;1;1;;;
student_125;A;1;;;1;;;1;1;1;1;1;;;1
student_126;A;1;;1;;1;;1;1;1;1;1;;;
student_127;C;1;;;;1;1;1;1;1;;;;;
student_128;C;1;1;1;;;;1;1;1;;;;;
student_129;B;1;;;1;1;;1;1;1;;;1;1;
student_130;A;1;;;;;1;1;1;1;1;1;;;1
student_131;C;1;;;1;;1;1;1;1;;;;;
student_132;A;1;1;;1;;;1;1;1;1;1;;;
student_133;B;1;;1;;;;1;1;1;;;1;1;1
student_134;A;1;1;;;;;1;1;1;1;1;;;1
student_135;A;1;;;;1;1;1;1;1;1;1;;;
student_136;B;1;;;1;1;;1;1;1;;;1;1;
student_137;A;1;1;;1;;;1;1;1;1;1;;;
student_138;B;1;1;;;1;;1;1;1;;;1;1;
student_139;B;1;;1;;;;1;1;1;;;1;1;1
student_140;C;1;;;1;;1;1;1;1;;;;;
student_141;C;1;1;;1;;;1;1;1;;;;;
student_142;B;1;;;1;1;;1;1;1;;;1;1;
student_143;B;1;1;1;;;;1;1;1;;;1;1;
student_144;A;1;;;1;;;1;1;1;1;1;;;1
student_145;B;1;1;;;;1;1;1;1;;;1;1;
student_146;C;1;1;;;;;1;1;1;;;;;1
student_147;B;1;;1;;;1;1;1;1;;;1;1;
student_148;A;1;;1;1;;;1;1;1;1;1;;;
student_149;A;1;;1;;;1;1;1;1;1;1;;;
student_150;B;1;1;;;1;;1;1;1;;;1;1;
student_151;A;1;1;;;;1;1;1;1;1;1;;;
student_152;B;1;;1;1;;;1;1;1;;;1;1;
student_153;B;1;1;1;;;;1;1;1;;;1;1;
student_154;A;1;1;;;;1;1;1;1;1;1;;;
student_155;A;1;1;;;;1;1;1;1;1;1;;;
student_156;C;1;1;;;;;1;1;1;;;;;1
student_157;A;1;;1;;1;;1;1;1;1;1;;;
student_158;A;1;;1;;;1;1;1;1;1;1;;;
student_159;B;1;1;;1;;;1;1;1;;;1;1;
student_160;A;1;;;1;;1;1;1;1;1;1;;;
student_161;A;1;;;1;1;;1;1;1;1;1;;;
student_162;C;1;;;;1;;1;1;1;;;;;1
student_163;C;1;1;;;;1;1;1;1;;;;;
student_164;A;1;;1;;1;;1;1;1;1;1;;;
student_165;B;1;1;1;;;;1;1;1;;;1;1;
student_166;A;1;1;;;;;1;1;1;1;1;;;1
student_167;A;1;1;;1;;;1;1;1;1;1;;;
student_168;A;1;1;;;1;;1;1;1;1;1;;;
student_169;B;1;;;1;;1;1;1;1;;;1;1;
student_170;B;1;;1;1;;;1;1;1;;;1;1;
student_171;A;1;;1;;1;;1;1;1;1;1;;;
student_172;B;1;1;;;;;1;1;1;;;1;1;1
student_173;A;1;;;1;;;1;1;1;1;1;;;1
student_174;A;1;1;;;1;;1;1;1;1;1;;;
student_175;B;1;;;1;;;1;1;1;;;1;1;1
student_176;B;1;;1;;;;1;1;1;;;1;1;1
student_177;A;1;1;;1;;;1;1;1;1;1;;;
student_178;B;1;;;1;;;1;1;1;;;1;1;1
student_179;B;1;;;;1;;1;1;1;;;1;1;1
student_180;B;1;;;;1;;1;1;1;;;1;1;1
student_181;C;1;;1;;;;1;1;1;;;;;1
student_182;B;1;;1;;1;;1;1;1;;;1;1;
student_183;A;1;;;1;;;1;1;1;1;1;;;1
student_184;C;1;;;;;1;1;1;1;;;;;1
student_185;A;1;;1;1;;;1;1;1;1;1;;;
student_186;A;1;1;;;;1;1;1;1;1;1;;;
student_187;A;1;;1;;;;1;1;1;1;1;;;1
student_188;B;1;;1;;;1;1;1;1;;;1;1;
student_189;A;1;;1;;;1;1;1;1;1;1;;;
student_190;A;1;;;;;1;1;1;1;1;1;;;1
student_191;B;1;;;;;1;1;1;1;;;1;1;1
student_192;B;1;1;;;;;1;1;1;;;1;1;1
student_193;A;1;1;;;;;1;1;1;1;1;;;1
student_194;C;1;1;;;;;1;1;1;;;;;1
student_195;A;1;;;1;;;1;1;1;1;1;;;1
student_196;A;1;1;;;;1;1;1;1;1;1;;;
student_197;C;1;1;;;;;1;1;1;;;;;1
student_198;B;1;;;1;;1;1;1;1;;;1;1;
student_199;B;1;;1;1;;;1;1;1;;;1;1;
student_200;C;1;;;;1;1;1;1;1;;;;;
