student_id;path;Przedmiot1;Przedmiot10;Przedmiot11;Przedmiot12;Przedmiot13;Przedmiot14;Przedmiot15;Przedmiot16;Przedmiot3;Przedmiot4;Przedmiot5;Przedmiot6;Przedmiot7;Przedmiot8;Przedmiot9
student_1;A;1;;;1;;;1;;1;1;1;;;;
student_2;A;1;1;;1;;;;;1;1;1;;;;
student_3;A;1;;;1;1;;;;1;1;1;;;;
student_4;A;1;;;;;1;1;;1;1;1;;;;
student_5;C;1;;;1;;;1;;1;;;;;1;1
student_6;A;1;1;;;;;;1;1;1;1;;;;
student_7;B;1;1;;1;;;;;1;;;1;1;;
student_8;A;1;;;;;;1;1;1;1;1;;;;
student_9;C;1;;;1;;;;1;1;;;;;1;1
student_10;A;1;;;1;;;1;;1;1;1;;;;
student_11;B;1;;1;;;;1;;1;;;1;1;;
student_12;B;1;;;;;1;1;;1;;;1;1;;
student_13;A;1;;;;;;1;1;1;1;1;;;;
student_14;C;1;;;;;;1;1;1;;;;;1;1
student_15;A;1;;1;;;;1;;1;1;1;;;;
student_16;B;1;;;;1;;1;;1;;;1;1;;
student_17;A;1;;;;;;1;1;1;1;1;;;;
student_18;A;1;;;;;1;1;;1;1;1;;;;
student_19;B;1;;1;;;;1;;1;;;1;1;;
student_20;B;1;1;1;;;;;;1;;;1;1;;
student_21;A;1;;;1;;;1;;1;1;1;;;;
student_22;C;1;1;;;;;;1;1;;;;;1;1
student_23;A;1;;1;;;;1;;1;1;1;;;;
student_24;B;1;;1;;1;;;;1;;;1;1;;
student_25;B;1;;1;;;1;;;1;;;1;1;;
student_26;B;1;1;1;;;;;;1;;;1;1;;
student_27;B;1;1;;1;;;;;1;;;1;1;;
student_28;B;1;1;;;;;1;;1;;;1;1;;
student_29;B;1;1;;;;;;1;1;;;1;1;;
student_30;A;1;;;;;1;1;;1;1;1;;;;
student_31;A;1;;1;;1;;;;1;1;1;;;;
student_32;A;1;;1;;;;1;;1;1;1;;;;
student_33;B;1;;1;;1;;;;1;;;1;1;;
student_34;B;1;;;1;;;1;;1;;;1;1;;
student_35;B;1;1;;1;;;;;1;;;1;1;;
student_36;B;1;;1;1;;;;;1;;;1;1;;
student_37;A;1;;;1;;;;1;1;1;1;;;;
student_38;B;1;1;;1;;;;;1;;;1;1;;
student_39;A;1;;;1;;;1;;1;1;1;;;;
student_40;B;1;;;;;1;;1;1;;;1;1;;
student_41;A;1;;;1;1;;;;1;1;1;;;;
student_42;C;1;;;;1;;1;;1;;;;;1;1
student_43;B;1;1;;;;1;;;1;;;1;1;;
student_44;B;1;;1;;;1;;;1;;;1;1;;
student_45;A;1;;1;;1;;;;1;1;1;;;;
student_46;A;1;;1;;;;1;;1;1;1;;;;
student_47;B;1;;;1;;;;1;1;;;1;1;;
student_48;B;1;;;1;;;1;;1;;;1;1;;
student_49;B;1;;;;1;1;;;1;;;1;1;;
student_50;A;1;;;;1;;;1;1;1;1;;;;
student_51;A;1;;;;;1;1;;1;1;1;;;;
student_52;A;1;1;;;;;;1;1;1;1;;;;
