;Przedmiot-1;Przedmiot-2;Przedmiot-3;Przedmiot-4;Przedmiot-6;Przedmiot-7;;;;;;;;;;
student_1;1;1;2;3;13;11;;;;1;32;32;32;32;15;30
student_2;3;2;7;2;9;8;;;;2;32;32;32;32;15;25
student_3;2;4;3;6;6;10;;;;3;31;31;31;31;15;24
student_4;3;2;3;3;5;7;;;;4;31;31;31;31;15;29
student_5;1;7;1;6;13;2;;;;5;31;31;31;31;15;22
student_6;1;8;2;8;14;4;;;;6;31;31;31;31;15;15
student_7;8;1;6;8;3;9;;;;7;31;31;31;31;15;24
student_8;6;3;1;5;7;2;;;;8;31;31;31;31;15;11
student_9;1;4;1;7;15;12;;;;9;0;0;0;0;15;11
student_10;3;6;3;2;15;10;;;;10;0;0;0;0;15;19
student_11;8;3;4;6;4;9;;;;11;0;0;0;0;12;11
student_12;6;8;2;1;7;13;;;;12;0;0;0;0;15;7
student_13;2;2;5;6;9;1;;;;13;0;0;0;0;15;4
student_14;8;4;7;1;5;5;;;;14;0;0;0;0;15;6
student_15;6;6;4;3;10;1;;;;15;0;0;0;0;15;8
student_16;8;7;6;5;9;2;;;;16;0;0;0;0;15;4
student_17;1;5;8;6;7;2;;;;17;0;0;0;0;13;0
student_18;7;1;4;3;11;3;;;;;;;;;;
student_19;1;7;2;3;8;6;;;;;250;250;250;250;250;250
student_20;4;3;7;4;4;1;;;;;;;;;;
student_21;2;1;6;2;14;5;;;;;;;;;;
student_22;2;5;3;7;13;1;;;;;;;;;;
student_23;6;4;1;1;6;1;;;;;;;;;;
student_24;5;1;3;7;6;7;;;;;;;;;;
student_25;3;7;4;1;10;1;;;;;;;;;;
student_26;1;4;3;5;2;1;;;;;;;;;;
student_27;6;4;1;8;9;3;;;;;;;;;;
student_28;1;1;1;3;5;2;;;;;;;;;;
student_29;4;4;5;1;9;4;;;;;;;;;;
student_30;5;6;2;3;3;2;;;;;;;;;;
student_31;5;1;7;4;6;16;;;;;;;;;;
student_32;2;3;3;4;3;8;;;;;;;;;;
student_33;4;6;4;5;8;14;;;;;;;;;;
student_34;6;1;3;2;12;7;;;;;;;;;;
student_35;2;3;1;5;5;9;;;;;;;;;;
student_36;3;7;2;4;9;8;;;;;;;;;;
student_37;2;2;8;8;5;1;;;;;;;;;;
student_38;2;5;6;3;6;7;;;;;;;;;;
student_39;3;1;5;8;1;3;;;;;;;;;;
student_40;3;3;4;2;2;8;;;;;;;;;;
student_41;1;1;6;8;5;7;;;;;;;;;;
student_42;4;7;2;4;11;1;;;;;;;;;;
student_43;1;1;5;5;5;1;;;;;;;;;;
student_44;5;1;1;7;14;8;;;;;;;;;;
student_45;5;8;1;2;5;5;;;;;;;;;;
student_46;3;6;3;7;13;15;;;;;;;;;;
student_47;6;8;2;1;12;5;;;;;;;;;;
student_48;1;7;3;1;9;1;;;;;;;;;;
student_49;1;5;1;6;17;10;;;;;;;;;;
student_50;1;8;2;7;10;10;;;;;;;;;;
student_51;2;2;2;1;9;3;;;;;;;;;;
student_52;1;8;5;7;15;4;;;;;;;;;;
student_53;8;1;4;2;11;12;;;;;;;;;;
student_54;3;3;3;1;12;10;;;;;;;;;;
student_55;1;1;2;8;5;9;;;;;;;;;;
student_56;3;2;3;3;17;9;;;;;;;;;;
student_57;5;7;1;2;5;4;;;;;;;;;;
student_58;4;1;8;2;10;1;;;;;;;;;;
student_59;2;5;4;3;1;5;;;;;;;;;;
student_60;2;8;8;1;11;4;;;;;;;;;;
student_61;4;3;3;2;2;4;;;;;;;;;;
student_62;2;6;3;3;8;5;;;;;;;;;;
student_63;1;3;3;2;11;2;;;;;;;;;;
student_64;3;6;2;1;13;6;;;;;;;;;;
student_65;1;5;6;1;3;8;;;;;;;;;;
student_66;4;2;1;5;4;7;;;;;;;;;;
student_67;7;2;8;1;6;10;;;;;;;;;;
student_68;1;5;3;2;16;14;;;;;;;;;;
student_69;2;6;3;1;9;1;;;;;;;;;;
student_70;1;2;4;2;10;7;;;;;;;;;;
student_71;8;5;6;2;16;1;;;;;;;;;;
student_72;6;3;2;4;14;4;;;;;;;;;;
student_73;7;4;7;8;2;4;;;;;;;;;;
student_74;7;6;4;3;4;4;;;;;;;;;;
student_75;7;2;7;5;5;7;;;;;;;;;;
student_76;5;6;7;1;3;16;;;;;;;;;;
student_77;8;2;6;4;4;1;;;;;;;;;;
student_78;3;1;7;3;8;11;;;;;;;;;;
student_79;4;6;2;1;4;2;;;;;;;;;;
student_80;5;4;6;3;10;8;;;;;;;;;;
student_81;6;1;2;2;8;11;;;;;;;;;;
student_82;4;1;3;2;17;7;;;;;;;;;;
student_83;8;3;5;2;8;4;;;;;;;;;;
student_84;2;2;7;8;4;3;;;;;;;;;;
student_85;8;4;7;1;3;16;;;;;;;;;;
student_86;7;2;2;2;3;1;;;;;;;;;;
student_87;4;6;2;4;1;14;;;;;;;;;;
student_88;2;7;2;7;5;4;;;;;;;;;;
student_89;2;4;1;3;5;10;;;;;;;;;;
student_90;5;1;2;7;5;4;;;;;;;;;;
student_91;6;3;2;6;6;4;;;;;;;;;;
student_92;3;2;7;3;5;2;;;;;;;;;;
student_93;2;8;2;8;7;3;;;;;;;;;;
student_94;3;7;6;2;17;2;;;;;;;;;;
student_95;2;4;1;8;4;1;;;;;;;;;;
student_96;1;1;5;4;3;7;;;;;;;;;;
student_97;3;2;2;2;2;7;;;;;;;;;;
student_98;8;2;8;4;3;10;;;;;;;;;;
student_99;1;1;1;6;1;2;;;;;;;;;;
student_100;8;3;3;1;8;2;;;;;;;;;;
student_101;4;1;2;1;3;3;;;;;;;;;;
student_102;7;1;6;4;17;7;;;;;;;;;;
student_103;4;4;2;7;7;15;;;;;;;;;;
student_104;5;5;8;6;1;1;;;;;;;;;;
student_105;1;4;8;1;14;6;;;;;;;;;;
student_106;3;1;7;2;16;15;;;;;;;;;;
student_107;3;7;2;3;8;7;;;;;;;;;;
student_108;2;8;1;8;13;1;;;;;;;;;;
student_109;7;2;3;6;1;1;;;;;;;;;;
student_110;5;3;7;5;4;3;;;;;;;;;;
student_111;5;3;1;1;3;3;;;;;;;;;;
student_112;7;1;2;8;10;4;;;;;;;;;;
student_113;7;7;3;3;7;11;;;;;;;;;;
student_114;3;4;7;1;10;8;;;;;;;;;;
student_115;1;1;3;7;7;10;;;;;;;;;;
student_116;1;6;1;5;7;10;;;;;;;;;;
student_117;7;4;5;8;4;1;;;;;;;;;;
student_118;1;4;6;2;9;2;;;;;;;;;;
student_119;4;1;1;7;8;5;;;;;;;;;;
student_120;2;3;2;1;14;6;;;;;;;;;;
student_121;4;4;4;5;8;13;;;;;;;;;;
student_122;7;8;4;6;7;10;;;;;;;;;;
student_123;6;2;4;1;8;7;;;;;;;;;;
student_124;4;1;4;4;9;6;;;;;;;;;;
student_125;1;4;4;7;15;2;;;;;;;;;;
student_126;7;8;5;8;14;3;;;;;;;;;;
student_127;2;2;5;8;6;5;;;;;;;;;;
student_128;5;1;3;3;1;1;;;;;;;;;;
student_129;5;7;1;6;2;4;;;;;;;;;;
student_130;2;3;2;6;7;1;;;;;;;;;;
student_131;3;2;6;4;1;2;;;;;;;;;;
student_132;7;4;7;3;3;15;;;;;;;;;;
student_133;5;1;3;1;17;6;;;;;;;;;;
student_134;3;5;4;3;15;11;;;;;;;;;;
student_135;2;2;1;2;9;7;;;;;;;;;;
student_136;3;2;3;1;2;4;;;;;;;;;;
student_137;6;4;7;3;4;10;;;;;;;;;;
student_138;1;7;4;3;14;1;;;;;;;;;;
student_139;7;5;3;6;2;4;;;;;;;;;;
student_140;2;2;3;7;9;7;;;;;;;;;;
student_141;2;4;2;8;14;7;;;;;;;;;;
student_142;1;2;4;1;13;1;;;;;;;;;;
student_143;2;6;5;6;2;1;;;;;;;;;;
student_144;6;7;3;7;9;1;;;;;;;;;;
student_145;7;3;3;4;1;3;;;;;;;;;;
student_146;4;5;1;2;7;1;;;;;;;;;;
student_147;2;5;7;8;14;5;;;;;;;;;;
student_148;4;5;1;7;3;14;;;;;;;;;;
student_149;5;2;2;2;13;1;;;;;;;;;;
student_150;2;5;4;3;13;4;;;;;;;;;;
student_151;4;4;1;2;2;12;;;;;;;;;;
student_152;2;3;8;3;3;4;;;;;;;;;;
student_153;5;2;1;5;11;16;;;;;;;;;;
student_154;2;2;4;2;10;1;;;;;;;;;;
student_155;5;2;4;6;4;2;;;;;;;;;;
student_156;3;7;3;8;16;8;;;;;;;;;;
student_157;4;8;5;4;9;7;;;;;;;;;;
student_158;3;4;4;2;14;7;;;;;;;;;;
student_159;5;2;1;4;7;12;;;;;;;;;;
student_160;7;7;7;3;8;11;;;;;;;;;;
student_161;3;6;6;3;6;15;;;;;;;;;;
student_162;6;3;1;1;6;2;;;;;;;;;;
student_163;3;8;4;3;14;6;;;;;;;;;;
student_164;8;2;4;5;17;2;;;;;;;;;;
student_165;8;3;5;1;4;5;;;;;;;;;;
student_166;5;6;7;8;3;3;;;;;;;;;;
student_167;6;3;4;8;15;9;;;;;;;;;;
student_168;3;7;5;3;8;2;;;;;;;;;;
student_169;4;5;6;3;4;14;;;;;;;;;;
student_170;5;7;1;5;17;10;;;;;;;;;;
student_171;7;3;5;7;12;3;;;;;;;;;;
student_172;3;3;5;5;7;5;;;;;;;;;;
student_173;6;7;7;2;2;9;;;;;;;;;;
student_174;3;6;7;2;10;4;;;;;;;;;;
student_175;5;7;6;8;1;3;;;;;;;;;;
student_176;6;6;4;8;7;7;;;;;;;;;;
student_177;1;6;5;5;2;7;;;;;;;;;;
student_178;4;3;7;8;4;6;;;;;;;;;;
student_179;7;7;4;5;2;7;;;;;;;;;;
student_180;8;3;6;1;11;3;;;;;;;;;;
student_181;6;3;7;4;7;7;;;;;;;;;;
student_182;7;7;5;5;16;6;;;;;;;;;;
student_183;8;6;5;7;13;3;;;;;;;;;;
student_184;1;8;4;6;8;2;;;;;;;;;;
student_185;3;7;4;7;12;11;;;;;;;;;;
student_186;3;5;5;7;2;6;;;;;;;;;;
