student_id,subject,group_id,preference
student_1,Przedmiot-5,1,5
student_1,Przedmiot-5,2,0
student_1,Przedmiot-5,3,9
student_1,Przedmiot-5,4,6
student_1,Przedmiot-5,5,8
student_1,Przedmiot-5,6,2
student_1,Przedmiot-5,7,5
student_1,Przedmiot-7,1,8
student_1,Przedmiot-7,2,2
student_1,Przedmiot-7,3,0
student_1,Przedmiot-7,4,9
student_1,Przedmiot-7,5,10
student_1,Przedmiot-7,6,10
student_1,Przedmiot-7,7,6
student_1,Przedmiot-7,8,7
student_1,Przedmiot-7,9,2
student_1,Przedmiot-6,1,7
student_1,Przedmiot-6,2,9
student_1,Przedmiot-6,3,3
student_1,Przedmiot-6,4,9
student_1,Przedmiot-6,5,2
student_1,Przedmiot-6,6,4
student_1,Przedmiot-6,7,4
student_1,Przedmiot-1,1,2
student_1,Przedmiot-1,2,3
student_1,Przedmiot-1,3,5
student_1,Przedmiot-1,4,7
student_1,Przedmiot-1,5,10
student_1,Przedmiot-1,6,3
student_1,Przedmiot-1,7,4
student_1,Przedmiot-1,8,4
student_1,Przedmiot-1,9,7
student_1,Przedmiot-1,10,2
student_1,Przedmiot-1,11,5
student_1,Przedmiot-1,12,2
student_1,Przedmiot-1,13,3
student_1,Przedmiot-1,14,8
student_1,Przedmiot-1,15,0
student_1,Przedmiot-1,16,5
student_1,Przedmiot-9,1,0
student_1,Przedmiot-9,2,10
student_1,Przedmiot-9,3,9
student_1,Przedmiot-9,4,4
student_1,Przedmiot-9,5,3
student_1,Przedmiot-9,6,9
student_1,Przedmiot-9,7,2
student_1,Przedmiot-9,8,5
student_1,Przedmiot-10,1,10
student_1,Przedmiot-10,2,7
student_1,Przedmiot-11,1,1
student_1,Przedmiot-11,2,4
student_1,Przedmiot-11,3,4
student_1,Przedmiot-12,1,4
student_1,Przedmiot-12,2,9
student_1,Przedmiot-13,1,0
student_1,Przedmiot-13,2,2
student_1,Przedmiot-13,3,2
student_1,Przedmiot-13,4,1
student_1,Przedmiot-14,1,0
student_1,Przedmiot-14,2,10
student_1,Przedmiot-14,3,10
student_1,Przedmiot-14,4,4
student_1,Przedmiot-14,5,5
student_1,Przedmiot-14,6,7
student_1,Przedmiot-14,7,6
student_1,Przedmiot-14,8,5
student_1,Przedmiot-14,9,1
student_1,Przedmiot-8,1,0
student_1,Przedmiot-8,2,6
student_1,Przedmiot-8,3,3
student_1,Przedmiot-8,4,3
student_1,Przedmiot-8,5,0
student_1,Przedmiot-8,6,10
student_1,Przedmiot-8,7,7
student_1,Przedmiot-8,8,0
student_1,Przedmiot-8,9,7
student_1,Przedmiot-2,1,9
student_1,Przedmiot-2,2,4
student_1,Przedmiot-2,3,5
student_1,Przedmiot-2,4,10
student_1,Przedmiot-2,5,2
student_1,Przedmiot-2,6,2
student_1,Przedmiot-2,7,7
student_1,Przedmiot-2,8,4
student_1,Przedmiot-2,9,6
student_1,Przedmiot-2,10,8
student_1,Przedmiot-2,11,0
student_1,Przedmiot-2,12,10
student_1,Przedmiot-2,13,6
student_1,Przedmiot-2,14,10
student_1,Przedmiot-2,15,9
student_1,Przedmiot-2,16,7
student_1,Przedmiot-3,1,10
student_1,Przedmiot-3,2,4
student_1,Przedmiot-3,3,5
student_1,Przedmiot-3,4,8
student_1,Przedmiot-3,5,7
student_1,Przedmiot-3,6,5
student_1,Przedmiot-3,7,3
student_1,Przedmiot-3,8,9
student_1,Przedmiot-3,9,2
student_1,Przedmiot-3,10,5
student_1,Przedmiot-3,11,4
student_1,Przedmiot-3,12,6
student_1,Przedmiot-3,13,10
student_1,Przedmiot-3,14,5
student_1,Przedmiot-3,15,4
student_1,Przedmiot-3,16,0
student_1,Przedmiot-3,17,10
student_1,Przedmiot-4,1,10
student_1,Przedmiot-4,2,1
student_1,Przedmiot-4,3,8
student_1,Przedmiot-4,4,9
student_1,Przedmiot-4,5,8
student_1,Przedmiot-4,6,8
student_1,Przedmiot-4,7,1
student_1,Przedmiot-4,8,6
student_2,Przedmiot-5,1,5
student_2,Przedmiot-5,2,10
student_2,Przedmiot-5,3,6
student_2,Przedmiot-5,4,10
student_2,Przedmiot-5,5,10
student_2,Przedmiot-5,6,6
student_2,Przedmiot-5,7,5
student_2,Przedmiot-7,1,2
student_2,Przedmiot-7,2,4
student_2,Przedmiot-7,3,9
student_2,Przedmiot-7,4,8
student_2,Przedmiot-7,5,2
student_2,Przedmiot-7,6,7
student_2,Przedmiot-7,7,5
student_2,Przedmiot-7,8,1
student_2,Przedmiot-7,9,10
student_2,Przedmiot-6,1,4
student_2,Przedmiot-6,2,3
student_2,Przedmiot-6,3,0
student_2,Przedmiot-6,4,3
student_2,Przedmiot-6,5,9
student_2,Przedmiot-6,6,4
student_2,Przedmiot-6,7,10
student_2,Przedmiot-1,1,9
student_2,Przedmiot-1,2,3
student_2,Przedmiot-1,3,1
student_2,Przedmiot-1,4,7
student_2,Przedmiot-1,5,2
student_2,Przedmiot-1,6,1
student_2,Przedmiot-1,7,7
student_2,Przedmiot-1,8,1
student_2,Przedmiot-1,9,9
student_2,Przedmiot-1,10,8
student_2,Przedmiot-1,11,0
student_2,Przedmiot-1,12,6
student_2,Przedmiot-1,13,1
student_2,Przedmiot-1,14,2
student_2,Przedmiot-1,15,10
student_2,Przedmiot-1,16,0
student_2,Przedmiot-9,1,1
student_2,Przedmiot-9,2,1
student_2,Przedmiot-9,3,10
student_2,Przedmiot-9,4,0
student_2,Przedmiot-9,5,4
student_2,Przedmiot-9,6,3
student_2,Przedmiot-9,7,8
student_2,Przedmiot-9,8,5
student_2,Przedmiot-10,1,4
student_2,Przedmiot-10,2,4
student_2,Przedmiot-11,1,9
student_2,Przedmiot-11,2,9
student_2,Przedmiot-11,3,4
student_2,Przedmiot-12,1,6
student_2,Przedmiot-12,2,9
student_2,Przedmiot-13,1,2
student_2,Przedmiot-13,2,7
student_2,Przedmiot-13,3,10
student_2,Przedmiot-13,4,1
student_2,Przedmiot-14,1,1
student_2,Przedmiot-14,2,9
student_2,Przedmiot-14,3,1
student_2,Przedmiot-14,4,3
student_2,Przedmiot-14,5,4
student_2,Przedmiot-14,6,5
student_2,Przedmiot-14,7,1
student_2,Przedmiot-14,8,9
student_2,Przedmiot-14,9,1
student_2,Przedmiot-8,1,6
student_2,Przedmiot-8,2,6
student_2,Przedmiot-8,3,4
student_2,Przedmiot-8,4,4
student_2,Przedmiot-8,5,7
student_2,Przedmiot-8,6,0
student_2,Przedmiot-8,7,5
student_2,Przedmiot-8,8,6
student_2,Przedmiot-8,9,2
student_2,Przedmiot-2,1,0
student_2,Przedmiot-2,2,4
student_2,Przedmiot-2,3,0
student_2,Przedmiot-2,4,3
student_2,Przedmiot-2,5,1
student_2,Przedmiot-2,6,5
student_2,Przedmiot-2,7,1
student_2,Przedmiot-2,8,3
student_2,Przedmiot-2,9,8
student_2,Przedmiot-2,10,7
student_2,Przedmiot-2,11,6
student_2,Przedmiot-2,12,10
student_2,Przedmiot-2,13,10
student_2,Przedmiot-2,14,10
student_2,Przedmiot-2,15,5
student_2,Przedmiot-2,16,5
student_2,Przedmiot-3,1,3
student_2,Przedmiot-3,2,5
student_2,Przedmiot-3,3,2
student_2,Przedmiot-3,4,7
student_2,Przedmiot-3,5,10
student_2,Przedmiot-3,6,6
student_2,Przedmiot-3,7,2
student_2,Przedmiot-3,8,2
student_2,Przedmiot-3,9,4
student_2,Przedmiot-3,10,7
student_2,Przedmiot-3,11,10
student_2,Przedmiot-3,12,5
student_2,Przedmiot-3,13,0
student_2,Przedmiot-3,14,8
student_2,Przedmiot-3,15,7
student_2,Przedmiot-3,16,6
student_2,Przedmiot-3,17,0
student_2,Przedmiot-4,1,7
student_2,Przedmiot-4,2,2
student_2,Przedmiot-4,3,8
student_2,Przedmiot-4,4,9
student_2,Przedmiot-4,5,2
student_2,Przedmiot-4,6,8
student_2,Przedmiot-4,7,2
student_2,Przedmiot-4,8,7
student_3,Przedmiot-5,1,10
student_3,Przedmiot-5,2,9
student_3,Przedmiot-5,3,8
student_3,Przedmiot-5,4,3
student_3,Przedmiot-5,5,9
student_3,Przedmiot-5,6,4
student_3,Przedmiot-5,7,7
student_3,Przedmiot-7,1,5
student_3,Przedmiot-7,2,6
student_3,Przedmiot-7,3,8
student_3,Przedmiot-7,4,6
student_3,Przedmiot-7,5,2
student_3,Przedmiot-7,6,6
student_3,Przedmiot-7,7,1
student_3,Przedmiot-7,8,8
student_3,Przedmiot-7,9,2
student_3,Przedmiot-6,1,6
student_3,Przedmiot-6,2,0
student_3,Przedmiot-6,3,0
student_3,Przedmiot-6,4,1
student_3,Przedmiot-6,5,8
student_3,Przedmiot-6,6,1
student_3,Przedmiot-6,7,5
student_3,Przedmiot-1,1,1
student_3,Przedmiot-1,2,5
student_3,Przedmiot-1,3,8
student_3,Przedmiot-1,4,9
student_3,Przedmiot-1,5,7
student_3,Przedmiot-1,6,8
student_3,Przedmiot-1,7,1
student_3,Przedmiot-1,8,5
student_3,Przedmiot-1,9,4
student_3,Przedmiot-1,10,8
student_3,Przedmiot-1,11,4
student_3,Przedmiot-1,12,3
student_3,Przedmiot-1,13,6
student_3,Przedmiot-1,14,5
student_3,Przedmiot-1,15,10
student_3,Przedmiot-1,16,5
student_3,Przedmiot-9,1,0
student_3,Przedmiot-9,2,5
student_3,Przedmiot-9,3,9
student_3,Przedmiot-9,4,10
student_3,Przedmiot-9,5,10
student_3,Przedmiot-9,6,4
student_3,Przedmiot-9,7,6
student_3,Przedmiot-9,8,1
student_3,Przedmiot-10,1,3
student_3,Przedmiot-10,2,1
student_3,Przedmiot-11,1,5
student_3,Przedmiot-11,2,0
student_3,Przedmiot-11,3,10
student_3,Przedmiot-12,1,1
student_3,Przedmiot-12,2,7
student_3,Przedmiot-13,1,9
student_3,Przedmiot-13,2,7
student_3,Przedmiot-13,3,2
student_3,Przedmiot-13,4,5
student_3,Przedmiot-14,1,0
student_3,Przedmiot-14,2,3
student_3,Przedmiot-14,3,0
student_3,Przedmiot-14,4,3
student_3,Przedmiot-14,5,10
student_3,Przedmiot-14,6,5
student_3,Przedmiot-14,7,6
student_3,Przedmiot-14,8,4
student_3,Przedmiot-14,9,2
student_3,Przedmiot-8,1,9
student_3,Przedmiot-8,2,3
student_3,Przedmiot-8,3,4
student_3,Przedmiot-8,4,6
student_3,Przedmiot-8,5,9
student_3,Przedmiot-8,6,6
student_3,Przedmiot-8,7,3
student_3,Przedmiot-8,8,7
student_3,Przedmiot-8,9,1
student_3,Przedmiot-2,1,2
student_3,Przedmiot-2,2,9
student_3,Przedmiot-2,3,3
student_3,Przedmiot-2,4,10
student_3,Przedmiot-2,5,5
student_3,Przedmiot-2,6,1
student_3,Przedmiot-2,7,6
student_3,Przedmiot-2,8,8
student_3,Przedmiot-2,9,1
student_3,Przedmiot-2,10,6
student_3,Przedmiot-2,11,3
student_3,Przedmiot-2,12,8
student_3,Przedmiot-2,13,4
student_3,Przedmiot-2,14,8
student_3,Przedmiot-2,15,6
student_3,Przedmiot-2,16,4
student_3,Przedmiot-3,1,8
student_3,Przedmiot-3,2,2
student_3,Przedmiot-3,3,7
student_3,Przedmiot-3,4,4
student_3,Przedmiot-3,5,5
student_3,Przedmiot-3,6,7
student_3,Przedmiot-3,7,4
student_3,Przedmiot-3,8,7
student_3,Przedmiot-3,9,7
student_3,Przedmiot-3,10,7
student_3,Przedmiot-3,11,10
student_3,Przedmiot-3,12,8
student_3,Przedmiot-3,13,7
student_3,Przedmiot-3,14,1
student_3,Przedmiot-3,15,3
student_3,Przedmiot-3,16,2
student_3,Przedmiot-3,17,9
student_3,Przedmiot-4,1,7
student_3,Przedmiot-4,2,10
student_3,Przedmiot-4,3,1
student_3,Przedmiot-4,4,9
student_3,Przedmiot-4,5,1
student_3,Przedmiot-4,6,8
student_3,Przedmiot-4,7,9
student_3,Przedmiot-4,8,4
student_4,Przedmiot-5,1,3
student_4,Przedmiot-5,2,10
student_4,Przedmiot-5,3,6
student_4,Przedmiot-5,4,10
student_4,Przedmiot-5,5,1
student_4,Przedmiot-5,6,2
student_4,Przedmiot-5,7,10
student_4,Przedmiot-7,1,7
student_4,Przedmiot-7,2,9
student_4,Przedmiot-7,3,10
student_4,Przedmiot-7,4,2
student_4,Przedmiot-7,5,0
