subject;specialization;type;;group_id;teacher;classroom;week;day;start_time
Przedmiot4;A;L;15;1;Prowadzący-20;4.28;;Cz;15:00
Przedmiot4;A;L;15;2;Prowadzący-20;4.28;;Cz;16:45
Przedmiot4;A;L;15;3;Prowadzący-20;4.29;;Cz;15:00
Przedmiot4;A;L;15;4;Prowadzący-20;4.29;;Cz;16:45
Przedmiot4;A;L;15;5;Prowadzący-20;4.29;;Sr;15:00
Przedmiot4;A;L;15;6;Prowadzący-20;4.29;;Sr;16:45
Przedmiot4;A;L;15;7;Prowadzący-20;4.29;;Sr;18:30
Przedmiot4;A;W;1440;1;Prowadzący-8;on-line;B;Sr;09:45
Przedmiot8;C;L;15;1;Prowadzący-11;221;B;Pn;13:15
Przedmiot8;C;L;15;2;Prowadzący-11;221;A;Pn;13:15
Przedmiot8;C;W;1440;1;Prowadzący-11;on-line;A;Pn;09:45
Przedmiot2;G;W;1440;1;Prowadzący-12;on-line;;Wt;09:45
Przedmiot5;A;L;15;1;Prowadzący-15;1.11;A;Pn;13:15
Przedmiot5;A;L;15;2;Prowadzący-15;1.11;B;Pn;13:15
Przedmiot5;A;L;15;3;Prowadzący-15;1.11;A;Pn;15:00
Przedmiot5;A;L;15;4;Prowadzący-15;1.11;B;Pn;15:00
Przedmiot5;A;L;15;5;Prowadzący-15;1.11;A;Pn;16:45
Przedmiot5;A;L;15;6;Prowadzący-15;1.11;B;Pn;16:45
Przedmiot5;A;L;15;7;Prowadzący-15;1.11;A;Pn;18:30
Przedmiot5;A;W;1440;1;Prowadzący-15;on-line;A;Pn;09:45
Przedmiot10;O;L;15;1;Prowadzący-27;4.23;B;Sr;13:15
Przedmiot10;O;L;15;2;Prowadzący-16;4.23;A;Sr;13:15
Przedmiot10;O;W;1440;1;Prowadzący-27;on-line;A;Cz;08:00
Przedmiot1;G;L;15;2;Prowadzący-17;4.31;A;Pt;15:00
Przedmiot1;G;L;15;3;Prowadzący-10;4.28;B;Pt;08:00
Przedmiot1;G;L;15;5;Prowadzący-10;4.28;B;Pt;09:45
Przedmiot1;G;L;15;6;Prowadzący-10;4.28;A;Pt;09:45
Przedmiot1;G;L;15;7;Prowadzący-18;4.26B;B;Wt;13:15
Przedmiot1;G;L;15;8;Prowadzący-18;4.26B;A;Wt;13:15
Przedmiot1;G;L;15;9;Prowadzący-18;4.26B;B;Wt;15:00
Przedmiot1;G;L;15;10;Prowadzący-18;4.26B;A;Wt;15:00
Przedmiot1;G;L;15;11;Prowadzący-17;4.27;B;Pt;16:45
Przedmiot1;G;L;15;12;Prowadzący-17;4.27;A;Pt;16:45
Przedmiot1;G;L;15;13;Prowadzący-17;4.27;B;Pt;18:30
Przedmiot1;G;L;15;14;Prowadzący-17;4.27;A;Pt;18:30
Przedmiot1;G;L;15;15;Prowadzący-10;4.27;B;Pt;15:00
Przedmiot1;G;W;1440;1;Prowadzący-4;on-line;B;Cz;08:00
Przedmiot9;C;L;15;1;Prowadzący-23;316;B;Cz;13:15
Przedmiot9;C;L;15;2;Prowadzący-23;316;A;Cz;13:15
Przedmiot9;C;W;1440;1;Prowadzący-23;on-line;B;Pn;09:45
Przedmiot11;O;L;15;1;Prowadzący-1;4.31;B;Pt;08:00
Przedmiot11;O;L;15;2;Prowadzący-1;4.31;A;Pt;08:00
Przedmiot11;O;L;15;3;Prowadzący-1;4.31;B;Pt;09:45
Przedmiot11;O;L;15;4;Prowadzący-1;4.31;A;Pt;09:45
Przedmiot11;O;L;15;5;Prowadzący-21;3.27e;B;Cz;15:00
Przedmiot11;O;L;15;6;Prowadzący-7;4.27;B;Sr;16:45
Przedmiot11;O;L;15;7;Prowadzący-6;4.31;B;Wt;18:30
Przedmiot11;O;L;15;8;Prowadzący-3;4.31;B;Pt;15:00
Przedmiot11;O;W;1440;1;Prowadzący-7;on-line;A;Sr;09:45
Przedmiot12;O;L;15;1;Prowadzący-13;112;B;Sr;13:15
Przedmiot12;O;L;15;2;Prowadzący-13;112;A;Sr;13:15
Przedmiot12;O;L;15;3;Prowadzący-13;14;B;Wt;15:00
Przedmiot12;O;L;15;4;Prowadzący-13;14;A;Wt;15:00
Przedmiot12;O;W;1440;1;Prowadzący-9;429;;Cz;11:30
Przedmiot13;O;L;15;1;Prowadzący-19;216;B;Wt;13:15
Przedmiot13;O;L;15;2;Prowadzący-19;216;A;Wt;13:15
Przedmiot13;O;W;1440;1;Prowadzący-22;on-line;B;Wt;08:00
Przedmiot3;G;L;15;1;Prowadzący-20;4.23;;Pn;13:15
Przedmiot3;G;L;15;2;Prowadzący-20;4.23;;Pn;15:00
Przedmiot3;G;L;15;3;Prowadzący-20;4.23;;Pn;16:45
Przedmiot3;G;L;15;4;Prowadzący-20;4.23;;Pn;18:30
Przedmiot3;G;L;15;5;Prowadzący-20;4.23;;Wt;13:15
Przedmiot3;G;L;15;6;Prowadzący-20;4.23;;Wt;15:00
Przedmiot3;G;L;15;7;Prowadzący-20;4.23;;Wt;16:45
Przedmiot3;G;L;15;8;Prowadzący-20;4.23;;Cz;13:15
Przedmiot3;G;L;15;9;Prowadzący-20;4.23;;Cz;15:00
Przedmiot3;G;L;15;10;Prowadzący-20;4.23;;Cz;16:45
Przedmiot3;G;L;15;11;Prowadzący-20;4.23;;Pt;08:00
Przedmiot3;G;L;15;12;Prowadzący-20;4.23;;Pt;09:45
Przedmiot3;G;L;15;13;Prowadzący-20;4.23;;Pt;11:30
Przedmiot3;G;L;15;14;Prowadzący-20;4.23;;Pt;13:15
Przedmiot3;G;L;15;15;Prowadzący-20;4.23;;Pt;15:00
Przedmiot3;G;W;1440;1;Prowadzący-26;on-line;;Pn;08:00
Przedmiot14;O;L;15;1;Prowadzący-2;1.15;;Sr;13:15
Przedmiot14;O;L;15;2;Prowadzący-2;1.15;;Sr;15:00
Przedmiot14;O;L;15;3;Prowadzący-25;3.24;;Sr;16:45
Przedmiot6;B;L;15;1;Prowadzący-14;4.31;B;Cz;16:45
Przedmiot6;B;L;15;2;Prowadzący-14;4.31;A;Cz;16:45
Przedmiot6;B;L;15;3;Prowadzący-14;4.31;B;Cz;18:30
Przedmiot6;B;L;15;4;Prowadzący-14;4.31;A;Cz;18:30
Przedmiot6;B;L;15;5;Prowadzący-14;4.29;B;Pt;13:15
Przedmiot6;B;L;15;6;Prowadzący-14;4.29;A;Pt;13:15
Przedmiot6;B;L;15;7;Prowadzący-14;4.29;B;Pt;15:00
Przedmiot6;B;W;1440;1;Prowadzący-20;on-line;A;Sr;08:00
Przedmiot15;O;L;15;1;Prowadzący-5;3.24;;Pt;11:30
Przedmiot16;O;L;15;1;Prowadzący-24;4.27;B;Pt;08:00
Przedmiot16;O;L;15;2;Prowadzący-24;4.27;A;Pt;08:00
Przedmiot16;O;L;15;3;Prowadzący-24;4.27;B;Pt;09:45
Przedmiot16;O;L;15;4;Prowadzący-24;4.27;A;Pt;09:45
Przedmiot16;O;L;15;5;Prowadzący-24;4.27;B;Pt;11:30
Przedmiot16;O;L;15;6;Prowadzący-24;4.27;A;Pt;11:30
Przedmiot16;O;L;15;7;Prowadzący-24;4.27;B;Pt;13:15
Przedmiot16;O;L;15;8;Prowadzący-24;4.27;A;Pt;13:15
Przedmiot16;O;W;1440;1;Prowadzący-24;on-line;B;Sr;08:00
Przedmiot7;B;L;15;1;Prowadzący-20;3.24;B;Pn;13:15
Przedmiot7;B;L;15;2;Prowadzący-20;3.24;A;Pn;13:15
Przedmiot7;B;L;15;3;Prowadzący-20;3.24;B;Pn;15:00
Przedmiot7;B;L;15;4;Prowadzący-20;3.24;A;Pn;15:00
Przedmiot7;B;L;15;5;Prowadzący-20;3.24;B;Pn;16:45
Przedmiot7;B;L;15;6;Prowadzący-20;3.24;A;Pn;16:45
Przedmiot7;B;L;15;7;Prowadzący-20;3.24;B;Pn;18:30
Przedmiot7;B;L;15;8;Prowadzący-20;3.24;A;Pn;18:30
Przedmiot7;B;W;1440;1;Prowadzący-25;on-line;A;Wt;08:00
