subject;specialization;type;;group_id;teacher;classroom;week;day;start_time
Przedmiot-5;A;L;15;1;Przowadzący-22;4.27;A;Wt;13:15
Przedmiot-5;A;L;15;2;Przowadzący-22;4.27;A;Pt;15:00
Przedmiot-5;A;L;15;3;Przowadzący-22;3.27e;B;Pt;16:45
Przedmiot-5;A;L;15;4;Przowadzący-22;3.27e;A;Pt;16:45
Przedmiot-5;A;L;15;5;Przowadzący-22;3.27e;B;Pt;18:30
Przedmiot-5;A;L;15;6;Przowadzący-22;3.27e;A;Pt;18:30
Przedmiot-5;A;L;15;7;Przowadzący-22;4.31;B;Wt;13:15
Przedmiot-5;A;W;1440;1;Przowadzący-22;on-line;B;Pt;08:00
Przedmiot-7;B;L;15;1;Przowadzący-21;4.27;B;Sr;08:00
Przedmiot-7;B;L;15;2;Przowadzący-21;4.27;A;Sr;08:00
Przedmiot-7;B;L;15;3;Przowadzący-21;4.27;B;Sr;09:45
Przedmiot-7;B;L;15;4;Przowadzący-21;4.27;A;Sr;09:45
Przedmiot-7;B;L;15;5;Przowadzący-21;4.27;B;Sr;11:30
Przedmiot-7;B;L;15;6;Przowadzący-21;4.27;A;Sr;11:30
Przedmiot-7;B;L;15;7;Przowadzący-21;4.27;B;Sr;13:15
Przedmiot-7;B;L;15;8;Przowadzący-21;4.27;A;Sr;13:15
Przedmiot-7;B;L;15;9;Przowadzący-21;4.27;B;Wt;13:15
Przedmiot-7;B;W;1440;1;Przowadzący-21;on-line;B;Sr;18:30
Przedmiot-6;A;L;15;1;Przowadzący-9;4.28;B;Pn;16:45
Przedmiot-6;A;L;15;2;Przowadzący-9;4.28;A;Pn;16:45
Przedmiot-6;A;L;15;3;Przowadzący-9;4.28;B;Pn;18:30
Przedmiot-6;A;L;15;4;Przowadzący-15;4.29;B;Sr;09:45
Przedmiot-6;A;L;15;5;Przowadzący-15;4.29;A;Sr;09:45
Przedmiot-6;A;L;15;6;Przowadzący-15;4.29;B;Sr;11:30
Przedmiot-6;A;L;15;7;Przowadzący-15;4.29;A;Sr;11:30
Przedmiot-6;A;W;1440;1;Przowadzący-15;on-line;A;Wt;09:45
Przedmiot-1;G;L;15;1;Przowadzący-10;3.23;;Sr;09:45
Przedmiot-1;G;L;15;2;Przowadzący-10;3.23;;Sr;11:30
Przedmiot-1;G;L;15;3;Przowadzący-10;3.23;;Sr;13:15
Przedmiot-1;G;L;15;4;Przowadzący-10;3.23;;Pt;13:15
Przedmiot-1;G;L;15;5;Przowadzący-10;3.23;;Pt;15:00
Przedmiot-1;G;L;15;6;Przowadzący-3;4.31;;Pt;16:45
Przedmiot-1;G;L;15;7;Przowadzący-3;4.31;;Pt;18:30
Przedmiot-1;G;L;15;8;Przowadzący-8;4.26A;;Wt;13:15
Przedmiot-1;G;L;15;9;Przowadzący-8;3.23;;Wt;15:00
Przedmiot-1;G;L;15;10;Przowadzący-8;3.23;;Wt;16:45
Przedmiot-1;G;L;15;11;Przowadzący-20;3.23;;Cz;09:45
Przedmiot-1;G;L;15;12;Przowadzący-28;3.23;;Sr;08:00
Przedmiot-1;G;L;15;13;Przowadzący-16;4.26A;;Sr;09:45
Przedmiot-1;G;L;15;14;Przowadzący-16;4.26A;;Sr;11:30
Przedmiot-1;G;L;15;15;Przowadzący-16;4.26A;;Sr;13:15
Przedmiot-1;G;L;15;16;Przowadzący-31;3.23;;Cz;08:00
Przedmiot-1;G;W;1440;1;Przowadzący-28;on-line;;Pt;09:45
Przedmiot-9;O;L;15;1;Przowadzący-30;4.29;B;Pn;13:15
Przedmiot-9;O;L;15;2;Przowadzący-30;4.29;A;Pn;13:15
Przedmiot-9;O;L;15;3;Przowadzący-30;4.29;B;Pn;15:00
Przedmiot-9;O;L;15;4;Przowadzący-30;4.29;A;Pn;15:00
Przedmiot-9;O;L;15;5;Przowadzący-30;4.29;B;Pn;16:45
Przedmiot-9;O;L;15;6;Przowadzący-30;4.29;A;Pn;16:45
Przedmiot-9;O;L;15;7;Przowadzący-30;4.29;B;Sr;13:15
Przedmiot-9;O;L;15;8;Przowadzący-30;4.29;A;Sr;13:15
Przedmiot-9;O;W;1440;1;Przowadzący-30;on-line;A;Pt;08:00
Przedmiot-10;O;L;15;1;Przowadzący-1;3.27e;A;Cz;11:30
Przedmiot-10;O;L;15;2;Przowadzący-1;3.27e;A;Cz;13:15
Przedmiot-10;O;W;1440;1;Przowadzący-4;on-line;A;Pn;09:45
Przedmiot-11;O;L;15;1;Przowadzący-27;4.29;B;Wt;16:45
Przedmiot-11;O;L;15;2;Przowadzący-27;4.29;A;Wt;18:30
Przedmiot-11;O;L;15;3;Przowadzący-27;4.29;B;Wt;18:30
Przedmiot-11;O;W;1440;1;Przowadzący-27;on-line;A;Sr;16:45
Przedmiot-12;O;L;15;1;Przowadzący-5;4.28;B;Cz;11:30
Przedmiot-12;O;L;15;2;Przowadzący-5;4.28;A;Cz;11:30
Przedmiot-12;O;W;1440;1;Przowadzący-5;on-line;A;Sr;18:30
Przedmiot-13;O;L;15;1;Przowadzący-12;4.26A;B;Pt;13:15
Przedmiot-13;O;L;15;2;Przowadzący-12;4.26A;A;Pt;13:15
Przedmiot-13;O;L;15;3;Przowadzący-12;4.26A;B;Pt;15:00
Przedmiot-13;O;L;15;4;Przowadzący-12;4.26A;A;Pt;15:00
Przedmiot-13;O;W;1440;1;Przowadzący-12;on-line;A;Cz;16:45
Przedmiot-14;O;L;15;1;Przowadzący-26;3.27e;B;Sr;08:00
Przedmiot-14;O;L;15;2;Przowadzący-26;3.27e;A;Sr;08:00
Przedmiot-14;O;L;15;3;Przowadzący-26;3.27e;B;Sr;09:45
Przedmiot-14;O;L;15;4;Przowadzący-26;3.27e;A;Sr;09:45
Przedmiot-14;O;L;15;5;Przowadzący-5;4.28;B;Cz;09:45
Przedmiot-14;O;L;15;6;Przowadzący-5;4.28;A;Cz;09:45
Przedmiot-14;O;L;15;7;Przowadzący-7;4.31;B;Wt;16:45
Przedmiot-14;O;L;15;8;Przowadzący-7;4.31;A;Wt;16:45
Przedmiot-14;O;L;15;9;Przowadzący-24;4.31;B;Wt;15:00
Przedmiot-14;O;W;1440;1;Przowadzący-26;on-line;B;Sr;16:45
Przedmiot-8;B;L;15;1;Przowadzący-22;4.31;B;Pt;13:15
Przedmiot-8;B;L;15;2;Przowadzący-22;4.31;A;Pt;13:15
Przedmiot-8;B;L;15;3;Przowadzący-18;4.29;B;Cz;08:00
Przedmiot-8;B;L;15;4;Przowadzący-18;4.29;A;Cz;09:45
Przedmiot-8;B;L;15;5;Przowadzący-18;4.29;B;Cz;09:45
Przedmiot-8;B;L;15;6;Przowadzący-18;4.29;A;Cz;11:30
Przedmiot-8;B;L;15;7;Przowadzący-18;4.29;B;Cz;11:30
Przedmiot-8;B;L;15;8;Przowadzący-18;4.29;A;Cz;13:15
Przedmiot-8;B;L;15;9;Przowadzący-18;4.29;B;Cz;13:15
Przedmiot-8;B;W;1440;1;Przowadzący-13;on-line;B;Wt;09:45
Przedmiot-2;G;L;15;1;Przowadzący-2;511a;;Wt;13:15
Przedmiot-2;G;L;15;2;Przowadzący-2;511a;;Wt;15:00
Przedmiot-2;G;L;15;3;Przowadzący-11;208;;Pn;13:15
Przedmiot-2;G;L;15;4;Przowadzący-11;208;;Pn;15:00
Przedmiot-2;G;L;15;5;Przowadzący-11;208;;Pn;16:45
Przedmiot-2;G;L;15;6;Przowadzący-17;4.28;;Sr;08:00
Przedmiot-2;G;L;15;7;Przowadzący-17;4.28;;Sr;09:45
Przedmiot-2;G;L;15;8;Przowadzący-17;4.28;;Sr;11:30
Przedmiot-2;G;L;15;9;Przowadzący-9;4.28;;Pn;13:15
Przedmiot-2;G;L;15;10;Przowadzący-9;4.28;;Pn;15:00
Przedmiot-2;G;L;15;11;Przowadzący-23;4.27;;Cz;11:30
Przedmiot-2;G;L;15;12;Przowadzący-23;4.27;;Cz;13:15
Przedmiot-2;G;L;15;13;Przowadzący-27;4.27;;Cz;08:00
Przedmiot-2;G;L;15;14;Przowadzący-27;4.27;;Cz;09:45
Przedmiot-2;G;L;15;15;Przowadzący-29;4.27;;Wt;15:00
Przedmiot-2;G;L;15;16;Przowadzący-29;4.27;;Wt;16:45
Przedmiot-2;G;W;1440;1;Przowadzący-29;on-line;;Wt;08:00
Przedmiot-3;G;L;15;1;Przowadzący-6;3.24;B;Sr;08:00
Przedmiot-3;G;L;15;2;Przowadzący-6;3.24;A;Sr;08:00
Przedmiot-3;G;L;15;3;Przowadzący-6;3.24;B;Sr;09:45
Przedmiot-3;G;L;15;4;Przowadzący-6;3.24;A;Sr;09:45
Przedmiot-3;G;L;15;5;Przowadzący-6;3.24;B;Sr;11:30
Przedmiot-3;G;L;15;6;Przowadzący-6;3.24;A;Sr;11:30
Przedmiot-3;G;L;15;7;Przowadzący-6;3.24;B;Sr;13:15
Przedmiot-3;G;L;15;8;Przowadzący-6;3.24;A;Sr;13:15
Przedmiot-3;G;L;15;9;Przowadzący-6;3.24;B;Cz;08:00
Przedmiot-3;G;L;15;10;Przowadzący-6;3.24;A;Cz;08:00
Przedmiot-3;G;L;15;11;Przowadzący-6;3.24;B;Cz;09:45
Przedmiot-3;G;L;15;12;Przowadzący-6;3.24;A;Cz;09:45
Przedmiot-3;G;L;15;13;Przowadzący-6;3.24;B;Cz;11:30
Przedmiot-3;G;L;15;14;Przowadzący-6;3.24;A;Cz;11:30
Przedmiot-3;G;L;15;15;Przowadzący-6;3.24;B;Pt;13:15
Przedmiot-3;G;L;15;16;Przowadzący-6;3.24;A;Pt;13:15
Przedmiot-3;G;L;15;17;Przowadzący-6;3.24;B;Pt;16:45
Przedmiot-3;G;W;1440;1;Przowadzący-6;on-line;;Cz;18:30
Przedmiot-4;G;C;30;1;Przowadzący-25;012;B;Wt;13:15
Przedmiot-4;G;C;30;2;Przowadzący-25;012;A;Wt;13:15
Przedmiot-4;G;C;30;3;Przowadzący-19;3.27c;B;Pn;16:45
Przedmiot-4;G;C;30;4;Przowadzący-19;3.27c;A;Pn;16:45
